uniprot.id	gene.symbol	(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid	1.Hydroxy.2.naphthoic.acid	10.Hydroxydecanoic.acid	2-Methylalanine	2,5-Dimethylpyrazine	2'-Deoxycytidine	2'-Deoxyuridine	3-Hydroxy-3-methylglutaric acid	3-Mercaptopyruvate	3-Methylhistamine	3-Ureidopropionic acid	8-hydroxy-2'-deoxyguanosine	Acetyl-L-carnitine	Aconitate	Acrylic.acid	Adenine	Adenosine	Adenosine 3',5'-diphosphate	Adenosine 5'-monophosphate	Allantoin	alpha-Ketoglutarate	Benzoic acid	Biotin	Butyric acid	Butyryl-carnitine	CDP-ethanolamine	Choline hydroxide solution	citramalate	Citrate/isocitrate	Creatine	Creatinine	Cytidine	Cytidine 5'-monophosphate	D-(+)-Galacturonic acid	D-Glucosamine 6-phosphate	D-Glucose	D-Glucose/Frucotose 6-phosphate	D-Pantolactone	Decanoyl-L-carnitine (C10)	Dehydro-L-(+)-ascorbic acid dimer	eicosanoic acid,	Fumarate	GABA	glycerol-3-phosphate	Glycine	Glyoxylic acid	Guanosine 5'-monophosphate disodium	Heptadecanoic acid	Hexanoyl-L-carnitine	Homovanillic acid/DL-p-Hydroxyphenyllactic acid	Hydroxypalmitoyl-carnitine	Hypotaurine	Inosine 5'-monophosphate	Isobutyraldehyde.oxime	Isovaleryl-carnitine	L-(+)-Lactate	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic acid	L-Carnitine	L-Citrulline	L-Cysteinesulfinic acid	L-Dihydroorotic acid	L-Glutamic acid	L-Glutamine	L-Glutathione reduced	L-Histidine	L-Lysine	L-Methionine	L-Phenylalanine	L-Pipecolic acid	L-Proline	L-Serine	L-Threonine	L-Tryptophan	L-Tyrosine	L-Valine	Lauroyl-L-carnitine	Lipoic acid	Lumichrome	malate	Maleate	meso-Erythritol	Methylglyoxal	MTA	Myristic acid	Myristoyl-carnitine	N-Acetyl-D-glucosamine/galactosamine	N-Acetyl-DL-glutamic acid	N-Acetyl-DL-methionine	N-Acetyl-DL-serine	N-Acetyl-L-aspartic acid	N-Acetyl-L-phenylalanine	N-Acetylneuraminic acid	N-alpha-Acetyl-L-asparagine	N-Methyl-L-glutamic acid	NAD	Norepinephrine	O-Phosphorylethanolamine	Ocatadecanoyl-carnitine	Octanoyl-L-carnitine (C8)	Hydroxybutyric acid	Ornithine	Oxidised glutathione	Palmitic acid	Palmitoylcarnitine	Pantothenic acid	Phosphocreatine	propionate	Propionyl-carnitine	Quinolinic acid	Rhamnose/Fucose/2-deoxy-D-glucose	S.Carboxymethyl.L.cysteine	Sodium gluconate	Stearic acid	Succinate	Succinate semialdehyde	Sucrose/Lactose/Palatinose/Trehalose	Taurine	Theophylline	Thymidine	Thymine	trans-4-Hydroxy-L-proline	Uracil	Uric acid	Uridine	Uridine 5'-diphospho-N-acetylgalactosamine	Uridine 5'-monophosphate	Uridine-5'-diphosphoglucose	Xylitol/Arabitol/Adonitol	xylose/ribose/arabinose
Q8K0D0	CDK17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P16092-3	FGFR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P16056	MET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05480	SRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99J95	CDK9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P41241	CSK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9DC71	MRPS15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O08582	GTPBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9JHS4	CLPX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9PYB0	AHNAK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F7DBB3	AHNAK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
